transaction_amount,user_age,account_age_days,num_transactions_last_24h,is_foreign_transaction,is_high_risk_merchant,device_type,card_present,fraud
318.59,23,93,6,0,0,mobile,0,0
198.11,34,1686,3,0,0,desktop,1,0
120.42,68,1435,2,0,0,mobile,1,0
246.18,67,2186,2,0,0,desktop,0,0
195.36,55,1232,0,0,0,tablet,1,0
24.78,41,1002,1,0,0,mobile,0,0
267.7,68,1661,2,0,0,mobile,1,0
93.01,27,1597,1,0,0,mobile,1,0
197.68,25,2355,1,0,1,mobile,1,0
271.71,38,266,0,0,0,mobile,0,0
45.93,23,646,0,0,0,desktop,1,0
13.99,38,2366,3,0,0,mobile,1,0
31.04,56,1137,1,0,0,mobile,0,0
66.85,41,2949,1,1,0,desktop,0,0
204.46,50,1402,4,0,0,desktop,1,0
236.56,35,454,3,0,0,mobile,1,0
0.84,45,2239,2,0,0,desktop,1,0
85.79,69,1915,5,0,0,tablet,1,0
64.83,49,1464,2,0,0,mobile,1,0
30.14,29,1211,1,1,0,mobile,1,0
15.32,65,831,4,0,0,desktop,0,0
49.43,59,1391,4,0,0,desktop,1,0
343.57,44,1113,4,1,0,mobile,1,0
46.85,27,2235,3,0,0,mobile,1,0
87.77,63,2867,1,0,0,desktop,1,0
145.69,69,1970,3,0,0,tablet,1,0
54.24,59,2180,0,0,0,desktop,1,0
428.14,49,872,0,0,0,tablet,1,0
393.84,59,635,4,0,1,desktop,1,1
34.81,43,1400,5,0,0,tablet,0,0
82.52,42,691,2,0,0,desktop,1,0
42.95,28,2740,1,0,0,tablet,1,0
40.23,40,1866,1,0,0,mobile,0,0
4.51,51,1058,1,1,1,desktop,1,0
112.86,69,1956,3,0,0,mobile,0,0
83.82,57,582,0,0,0,mobile,1,0
6.34,40,2219,2,0,0,mobile,1,0
39.2,46,1390,0,0,0,mobile,1,0
286.66,48,784,2,1,0,mobile,1,0
32.86,24,181,0,0,0,tablet,1,0
18.78,57,19,5,0,0,desktop,1,0
80.67,50,1250,2,0,1,tablet,1,0
509.28,38,2929,2,0,1,tablet,0,0
33.26,19,1617,7,0,0,mobile,0,0
133.82,35,2223,1,0,0,mobile,1,0
172.07,64,1246,3,0,1,mobile,1,0
32.56,50,1639,0,0,0,mobile,0,0
156.33,54,54,1,0,0,desktop,0,0
55.02,51,2743,2,0,1,mobile,0,0
120.06,37,2911,1,0,0,mobile,0,0
120.46,52,1427,2,0,1,mobile,1,0
92.09,68,2397,0,0,0,mobile,0,0
11.36,67,443,1,0,0,mobile,0,0
216.44,35,2881,0,0,0,desktop,1,0
46.42,63,580,4,0,0,mobile,0,0
24.77,41,282,2,0,0,mobile,1,0
5.0,25,2408,1,0,0,mobile,0,0
107.25,47,2963,0,0,0,desktop,1,0
135.82,61,823,8,0,0,mobile,0,0
2.01,27,2940,1,0,0,mobile,0,0
86.12,40,1670,3,0,0,mobile,1,0
30.82,69,641,2,0,0,tablet,1,0
124.33,66,1032,1,0,0,tablet,1,0
22.99,28,2017,1,0,0,mobile,0,0
140.91,19,563,4,0,0,desktop,1,0
58.68,43,2539,1,0,0,mobile,0,0
331.24,53,341,1,0,1,mobile,1,0
17.75,50,472,2,0,0,mobile,0,0
50.06,64,1711,2,0,0,mobile,1,0
14.45,30,2297,0,0,0,desktop,0,0
310.34,57,235,2,0,0,tablet,1,0
251.8,42,1107,1,0,0,mobile,1,0
35.8,21,1117,3,0,0,mobile,1,0
129.45,59,1909,1,0,0,mobile,0,0
203.94,36,1418,2,0,1,mobile,1,0
97.22,35,824,6,0,1,tablet,1,0
90.51,54,1292,3,0,0,desktop,1,0
33.23,47,632,0,0,0,desktop,1,0
11.73,36,529,2,0,0,mobile,1,0
273.01,40,1981,4,0,0,desktop,0,0
276.81,33,2170,0,0,0,mobile,1,0
120.32,18,2940,3,0,0,tablet,0,0
49.69,29,2058,2,1,0,mobile,1,0
51.55,41,1340,3,0,0,mobile,1,0
155.34,51,2886,2,0,1,mobile,1,0
272.89,25,1297,3,0,1,mobile,1,0
261.74,35,1330,1,0,0,desktop,0,0
181.63,65,1234,3,0,0,desktop,1,0
123.28,22,1982,1,0,0,desktop,1,0
10.55,43,1754,5,0,0,mobile,0,0
21.16,47,2801,0,0,1,mobile,1,0
274.59,30,2934,6,0,0,desktop,1,0
111.9,36,2512,3,0,0,desktop,0,0
1.11,46,2760,2,0,0,mobile,1,0
12.84,20,2776,3,0,1,desktop,1,0
130.7,43,2765,1,0,0,tablet,1,0
0.61,57,1949,3,0,0,desktop,1,0
21.04,29,2128,1,0,1,mobile,0,0
95.48,19,2528,2,0,0,desktop,1,0
141.28,28,902,2,0,0,mobile,1,0
126.65,61,891,1,0,0,desktop,0,0
30.47,45,1571,2,0,1,mobile,1,0
149.45,35,1825,2,0,0,tablet,0,0
32.5,30,2066,2,0,0,desktop,0,0
47.24,54,1189,5,0,0,mobile,1,0
164.68,39,1549,1,0,0,desktop,0,0
125.85,29,202,0,0,0,mobile,1,0
227.03,19,741,4,0,0,mobile,1,0
128.62,54,1370,4,0,0,mobile,0,0
100.81,24,1390,3,0,0,mobile,0,0
11.8,43,2001,4,0,1,tablet,0,0
55.01,43,1472,2,0,0,mobile,0,0
36.98,41,1537,0,0,0,desktop,0,0
33.56,29,319,0,0,0,mobile,1,0
433.48,33,2265,3,0,0,desktop,1,0
59.93,40,1058,4,0,0,mobile,0,0
267.13,57,1895,2,0,0,mobile,1,0
119.68,26,2314,0,0,0,tablet,0,0
190.06,49,724,0,0,1,mobile,1,0
83.81,32,2823,1,0,0,desktop,0,0
103.22,54,1701,1,0,0,mobile,0,0
81.4,30,413,2,0,0,mobile,1,0
26.07,22,1276,0,0,0,desktop,1,0
153.81,28,401,0,0,0,desktop,1,0
39.55,27,1840,1,0,0,mobile,1,0
2.95,69,724,2,0,1,tablet,0,1
124.44,30,2330,1,0,0,mobile,1,0
23.39,58,1136,4,0,0,mobile,1,0
338.53,63,2771,2,0,1,mobile,0,0
369.31,67,751,3,0,0,desktop,0,0
295.62,32,268,2,0,0,mobile,1,0
55.47,59,2346,3,0,0,mobile,1,0
1.87,24,1341,0,0,1,tablet,1,0
316.26,57,570,4,0,0,mobile,1,0
67.07,45,2557,2,0,0,mobile,1,0
408.1,49,1974,2,0,0,mobile,0,0
397.65,52,546,1,0,0,mobile,1,0
230.09,32,2823,2,0,0,mobile,1,0
41.85,65,365,1,0,0,mobile,1,0
58.36,53,547,1,0,0,mobile,0,0
228.57,38,271,0,0,0,mobile,1,0
45.74,23,739,3,0,0,desktop,1,0
22.29,18,2585,5,0,0,tablet,1,0
97.65,21,1258,2,0,0,desktop,0,0
330.16,28,59,1,0,0,mobile,1,0
142.9,61,1275,0,0,0,mobile,1,0
101.29,43,1871,1,0,0,desktop,1,0
12.27,54,86,2,0,0,desktop,1,0
114.54,40,763,0,0,1,mobile,1,0
553.27,46,390,2,0,0,mobile,0,0
18.11,38,1204,1,0,0,desktop,1,0
87.66,65,719,1,1,1,mobile,0,0
251.83,62,2904,5,0,0,mobile,1,0
162.0,62,149,0,0,0,mobile,0,0
143.29,66,583,2,0,0,desktop,1,0
145.47,44,121,0,0,0,desktop,1,0
53.46,56,2813,0,0,0,desktop,1,0
41.71,57,2653,0,1,0,desktop,1,0
198.88,30,2304,3,0,1,mobile,1,0
199.36,40,766,4,0,1,desktop,1,0
242.15,33,2912,4,0,0,mobile,0,0
293.35,47,800,1,0,1,mobile,0,0
85.93,21,2107,2,0,0,desktop,0,0
83.54,57,1022,2,0,0,mobile,0,0
192.11,33,1470,1,0,0,mobile,1,0
125.97,48,2436,3,0,0,tablet,0,0
145.27,59,1110,3,0,0,tablet,1,0
190.63,42,2834,2,0,0,mobile,0,0
264.88,61,1251,1,1,0,mobile,1,0
49.5,29,2641,3,0,0,mobile,0,0
56.51,43,1650,0,0,1,tablet,1,0
11.84,54,1816,3,0,0,mobile,1,0
103.61,65,1346,2,0,0,tablet,1,0
4.39,50,2957,1,0,1,mobile,0,0
75.19,45,1342,3,0,0,mobile,1,0
93.88,26,2614,3,0,0,mobile,1,0
40.52,29,2447,2,0,0,mobile,0,0
107.24,22,1733,3,0,1,tablet,0,0
3.72,69,899,2,0,0,desktop,1,0
4.57,45,2341,1,0,0,mobile,0,0
207.52,52,485,3,0,0,mobile,1,0
53.59,22,803,1,0,0,desktop,0,0
16.31,51,1716,2,0,0,mobile,1,0
88.64,63,1916,2,0,0,desktop,1,0
176.36,51,1758,4,0,0,mobile,1,0
29.17,30,1810,1,0,0,mobile,0,0
117.03,56,2938,1,0,0,mobile,1,0
10.71,59,2292,2,0,0,mobile,1,0
6.37,62,1444,3,0,0,mobile,1,0
90.95,65,1953,1,0,0,tablet,1,0
93.35,31,2864,1,0,0,mobile,1,0
121.74,28,2321,2,0,0,mobile,1,0
155.4,59,1671,1,0,0,mobile,1,0
446.83,55,1849,2,1,0,desktop,0,0
87.15,21,520,2,0,0,desktop,0,0
46.8,50,1152,1,0,1,desktop,1,0
190.28,24,1397,1,0,0,mobile,0,0
37.9,58,2616,2,1,0,desktop,1,0
69.36,25,2686,1,0,0,desktop,1,0
9.8,54,2207,2,1,1,mobile,0,0
3.08,68,652,2,0,1,mobile,0,0
394.49,27,2224,3,0,0,desktop,1,0
216.93,60,1951,3,0,0,mobile,1,0
142.88,32,2668,2,0,0,mobile,0,0
63.1,55,211,4,0,0,mobile,0,0
22.84,32,2495,4,1,0,mobile,1,0
20.41,22,586,1,0,0,mobile,0,0
34.56,46,167,3,0,1,desktop,1,0
95.61,36,2508,1,1,0,desktop,1,0
150.46,68,2964,0,0,1,mobile,0,0
129.53,27,1257,3,0,0,mobile,0,0
39.41,29,1206,3,0,0,desktop,0,0
371.77,21,1739,0,0,0,desktop,0,0
160.68,48,1053,0,0,0,mobile,1,0
96.99,35,714,4,0,0,desktop,1,0
113.52,33,2889,1,0,0,desktop,1,0
65.28,57,2916,4,1,0,mobile,1,0
34.16,53,688,2,0,0,mobile,0,0
52.8,42,330,2,0,0,mobile,0,0
170.18,40,1747,3,1,0,tablet,0,0
1.74,29,1208,2,0,1,mobile,1,0
14.81,51,2143,2,0,0,mobile,1,0
5.65,53,785,0,0,1,mobile,0,0
4.99,54,2697,3,0,0,desktop,1,0
232.1,20,2401,2,0,0,mobile,1,0
145.95,26,2978,2,0,0,desktop,1,0
77.13,35,941,1,0,0,desktop,1,0
12.35,60,1289,1,0,0,desktop,0,0
81.18,52,1680,1,0,0,desktop,0,0
76.97,51,2694,3,0,0,mobile,0,0
22.82,58,626,1,1,0,tablet,0,0
68.27,31,139,4,0,0,desktop,1,0
61.0,21,2764,2,0,0,tablet,1,0
114.81,46,762,1,0,0,desktop,1,0
120.97,58,1834,1,0,0,desktop,0,0
5.56,62,2303,3,0,1,mobile,0,0
56.33,67,1556,2,0,0,mobile,1,0
117.97,32,676,0,0,0,mobile,1,0
83.93,45,92,3,0,1,mobile,1,0
232.96,59,1093,1,0,0,desktop,1,0
129.0,33,37,0,1,0,mobile,1,0
21.34,29,1788,6,0,0,mobile,1,0
8.78,69,2188,1,0,0,desktop,1,0
123.41,22,2915,4,0,0,tablet,1,0
3.22,51,2728,3,0,0,desktop,1,0
105.76,59,1202,3,0,0,desktop,0,0
338.07,18,1837,3,0,0,mobile,0,0
102.81,56,1895,3,0,0,desktop,0,0
58.96,49,137,1,0,0,mobile,0,0
123.7,43,2238,0,0,1,tablet,0,0
73.55,34,1664,1,0,0,mobile,1,0
94.66,65,2390,1,0,0,desktop,1,0
340.58,44,1583,0,0,0,desktop,1,0
58.55,41,972,1,0,0,mobile,1,0
389.89,52,662,3,0,0,desktop,0,0
282.91,63,2291,0,0,0,desktop,0,0
26.15,59,1811,0,0,0,desktop,1,0
8.63,56,415,2,0,0,mobile,1,0
12.75,43,2755,1,0,0,mobile,0,0
2.21,66,343,4,0,0,mobile,1,0
11.9,55,2730,0,0,0,mobile,1,0
137.86,40,2701,2,0,0,mobile,0,0
8.86,39,146,4,0,0,desktop,0,0
46.1,21,323,2,0,0,mobile,1,0
223.62,66,2170,4,0,1,desktop,1,0
2.83,26,1276,1,0,0,mobile,0,0
202.14,21,1879,2,0,0,mobile,0,0
39.73,24,2359,0,0,0,mobile,1,0
15.09,40,601,2,0,1,desktop,0,0
143.18,19,475,2,0,0,desktop,1,0
118.97,66,2618,4,0,0,mobile,0,0
251.93,41,1516,1,1,0,mobile,0,0
159.4,57,575,5,0,1,mobile,0,0
195.24,48,347,1,0,0,desktop,1,0
39.76,64,2868,0,0,0,desktop,1,0
23.44,48,1511,3,0,0,desktop,1,0
166.65,64,382,1,0,0,mobile,1,0
197.31,57,1304,3,0,0,mobile,1,0
558.84,65,72,4,0,0,mobile,1,0
63.85,68,2569,0,0,0,mobile,0,0
55.83,60,2981,1,1,0,mobile,1,0
179.75,51,1118,2,0,0,mobile,1,0
50.01,41,1397,1,0,1,mobile,1,0
320.42,66,2387,4,0,1,mobile,1,0
234.58,43,1360,1,0,0,mobile,1,0
67.24,33,664,4,0,0,mobile,1,0
166.77,64,1516,0,0,0,desktop,1,0
168.56,30,1892,0,0,0,desktop,1,0
13.06,32,40,2,0,0,mobile,0,0
279.41,44,1383,4,0,0,desktop,1,0
84.44,21,2031,4,0,0,tablet,1,0
210.16,33,2622,1,0,0,mobile,1,0
46.29,47,1278,3,0,0,mobile,1,0
271.05,61,966,1,0,0,desktop,1,0
59.16,47,2629,1,0,0,tablet,1,0
1.31,53,1901,1,0,0,mobile,0,0
282.95,20,2218,2,0,0,mobile,0,0
11.49,39,701,3,0,0,desktop,1,0
46.16,66,511,3,0,1,mobile,1,0
359.64,39,1284,0,0,0,tablet,0,0
360.95,67,584,0,0,0,mobile,0,0
102.24,67,984,0,1,0,desktop,0,0
119.91,66,459,1,1,0,mobile,1,0
71.4,29,2577,2,1,0,mobile,1,0
41.64,38,1906,3,0,0,tablet,0,0
47.82,21,2389,2,1,1,mobile,1,1
133.96,48,2105,3,0,0,mobile,0,0
167.5,61,2266,3,0,0,desktop,1,0
188.18,48,2667,4,1,0,mobile,0,0
187.06,40,816,2,1,0,mobile,1,0
11.48,37,2779,1,0,0,mobile,0,0
81.85,32,2512,2,0,0,desktop,1,0
7.11,40,247,2,0,0,desktop,1,0
95.7,45,730,2,0,0,desktop,0,0
69.91,33,2421,1,0,0,mobile,0,0
262.39,54,417,1,0,0,mobile,0,0
51.86,38,1055,0,0,1,mobile,1,0
14.94,32,368,0,0,0,desktop,0,0
18.52,34,2607,2,0,0,desktop,1,0
172.01,67,108,1,1,0,tablet,1,0
115.55,54,2632,7,0,0,tablet,0,0
12.79,30,839,1,0,0,mobile,0,0
10.54,36,418,1,0,0,mobile,1,0
144.87,47,1644,1,0,0,desktop,0,0
9.07,62,821,2,0,0,mobile,0,0
207.02,35,1422,4,0,0,mobile,1,0
147.0,31,683,2,1,0,desktop,0,0
10.18,53,256,1,0,0,mobile,1,0
10.64,53,2828,1,0,0,mobile,0,0
517.86,37,838,1,0,1,mobile,1,0
56.26,69,2963,0,0,0,desktop,1,0
55.57,36,2283,4,0,0,mobile,1,0
201.07,62,553,1,0,0,desktop,0,0
353.06,61,181,3,0,0,mobile,0,0
512.25,24,157,3,0,0,desktop,1,0
167.99,61,1478,3,0,0,mobile,0,0
56.64,21,571,2,0,0,tablet,1,0
10.46,51,857,2,1,1,mobile,0,0
180.15,19,1785,3,0,0,tablet,1,0
98.08,22,1728,2,0,0,desktop,0,0
66.24,27,1048,0,0,0,mobile,1,0
284.19,49,1497,3,0,0,mobile,1,0
14.15,59,1424,2,0,0,mobile,0,0
81.42,58,2996,4,0,1,desktop,0,0
1.37,30,592,2,0,1,mobile,1,0
75.88,56,2182,1,0,0,mobile,1,0
6.95,22,421,3,0,1,desktop,1,0
15.18,27,2261,2,0,0,desktop,1,0
15.0,27,2948,2,0,0,mobile,0,0
125.71,55,2530,0,1,0,mobile,1,0
164.47,44,348,0,0,0,mobile,1,0
105.07,68,166,4,0,0,mobile,1,0
392.97,38,937,1,0,0,mobile,0,0
56.38,25,348,2,0,0,desktop,1,0
40.38,18,2897,1,0,0,mobile,0,0
243.54,45,398,1,0,1,mobile,0,0
30.37,66,583,1,1,0,mobile,1,0
396.34,56,2774,2,0,0,tablet,1,0
1.47,31,1601,3,0,0,mobile,0,0
420.3,38,308,2,0,0,tablet,1,0
5.29,47,2846,1,0,0,mobile,1,0
266.13,38,2767,1,0,0,mobile,0,0
90.02,66,2514,2,0,0,desktop,1,0
594.82,26,99,1,0,0,mobile,0,0
9.2,34,1266,3,1,0,desktop,0,0
96.85,22,158,2,0,0,desktop,0,0
418.03,48,2658,1,0,0,mobile,1,0
88.85,69,554,3,1,1,desktop,0,1
119.12,57,651,3,0,0,desktop,1,0
142.79,55,2968,4,0,0,desktop,1,0
72.74,60,2275,0,0,0,mobile,0,0
118.52,36,2471,4,1,0,mobile,1,0
105.34,53,2291,2,0,0,mobile,1,0
277.71,67,2578,2,0,0,tablet,1,0
5.58,50,1069,0,0,0,mobile,0,0
39.58,30,1496,1,0,0,mobile,0,0
360.48,31,2419,4,0,0,mobile,1,0
265.16,50,1879,2,0,0,desktop,0,0
72.98,46,2700,3,1,1,mobile,0,0
116.15,60,2737,2,0,0,mobile,1,0
38.98,66,734,7,0,0,desktop,0,0
25.01,53,1951,2,0,0,mobile,1,0
74.77,61,92,3,0,0,mobile,1,0
52.31,27,2220,0,1,0,mobile,1,0
105.15,48,1628,2,0,0,mobile,1,0
9.71,23,1216,3,0,0,mobile,1,0
439.8,18,1101,3,0,0,mobile,1,0
514.06,24,1305,3,0,0,mobile,1,0
143.74,44,1388,3,0,0,desktop,0,0
92.17,38,179,1,0,0,mobile,1,0
44.45,45,2286,2,0,0,mobile,1,0
201.71,33,2925,2,0,1,mobile,1,0
138.52,63,2950,1,0,0,mobile,1,0
21.3,40,280,1,0,1,desktop,1,0
290.2,69,1043,3,0,0,mobile,0,0
207.48,37,1619,4,0,0,mobile,0,0
359.01,55,2788,1,0,0,desktop,0,0
155.23,42,371,0,1,1,desktop,0,0
114.05,45,1801,2,0,0,desktop,1,0
65.0,22,2918,1,0,0,desktop,1,0
323.88,38,1704,2,0,0,mobile,0,0
241.25,35,2269,3,0,0,tablet,1,0
5.55,64,2968,2,0,0,tablet,0,0
3.21,23,304,0,0,0,mobile,1,0
56.68,46,1349,1,0,0,desktop,1,0
199.64,36,1461,1,0,0,mobile,1,0
523.71,50,2486,0,0,1,desktop,0,1
19.56,18,1194,4,0,0,mobile,1,0
108.21,62,2423,1,0,0,mobile,1,0
57.54,20,2429,2,0,1,mobile,1,0
420.45,59,2062,0,1,0,mobile,1,0
221.51,38,2791,4,0,0,mobile,0,0
218.66,52,669,0,0,0,mobile,0,0
75.89,58,500,1,0,0,desktop,0,0
64.3,57,1415,2,0,0,desktop,1,0
38.33,20,1573,3,0,0,mobile,1,0
6.96,42,2613,1,0,0,desktop,0,0
240.05,62,530,2,0,0,mobile,0,0
201.13,55,2007,4,0,0,desktop,1,0
980.69,62,2540,6,0,0,mobile,1,1
683.38,37,1220,0,1,0,desktop,0,0
97.28,69,755,1,0,0,desktop,0,0
175.83,61,2348,1,0,0,mobile,1,0
347.54,62,815,2,0,0,mobile,0,0
227.37,51,2595,0,0,0,tablet,1,0
34.1,38,727,3,0,0,desktop,1,0
71.86,65,731,5,0,0,mobile,1,0
16.6,40,828,1,1,0,mobile,1,0
369.63,23,2650,4,0,0,desktop,0,1
111.82,68,1332,2,0,0,tablet,1,0
31.15,30,2047,2,0,0,mobile,1,0
133.66,66,2816,3,0,0,tablet,0,0
115.52,40,875,2,0,0,mobile,0,0
53.21,26,2985,4,0,0,tablet,1,0
14.46,34,2179,2,1,1,desktop,1,0
133.61,19,2004,7,0,0,mobile,0,0
88.15,36,1678,1,0,0,mobile,1,0
177.58,36,608,2,1,1,desktop,1,0
88.12,24,2074,3,0,0,mobile,0,0
229.41,59,1478,1,0,0,tablet,1,0
96.33,59,635,1,0,0,desktop,1,0
98.77,37,1210,3,0,0,mobile,1,0
251.13,26,484,2,0,0,tablet,1,0
62.0,34,2728,1,0,0,mobile,1,0
17.27,44,1075,4,0,0,desktop,1,0
3.5,64,1915,2,0,0,desktop,0,0
168.85,19,2053,1,1,0,tablet,1,0
116.21,53,589,2,0,0,mobile,1,0
146.12,36,2256,3,0,0,mobile,1,0
28.74,34,2305,1,0,0,mobile,1,0
17.59,22,1229,0,0,0,mobile,1,0
1.76,56,1974,1,0,0,mobile,0,0
51.8,35,2059,0,0,0,desktop,1,0
106.97,24,949,1,0,0,mobile,0,0
59.76,34,2056,2,0,0,mobile,1,0
69.04,56,2984,1,0,0,mobile,1,0
281.41,53,2080,4,0,0,mobile,0,0
51.37,57,2008,1,0,0,desktop,1,0
86.58,62,2588,2,0,0,mobile,1,0
183.7,21,1742,0,0,0,mobile,1,0
60.61,55,387,0,0,0,mobile,0,0
116.77,42,1252,5,0,0,mobile,1,0
237.98,22,2688,0,0,0,mobile,1,0
358.34,47,1791,0,1,1,desktop,1,1
19.09,29,1499,1,0,0,desktop,1,0
313.4,21,207,0,0,0,mobile,1,0
81.3,41,1819,1,0,0,mobile,0,0
35.85,46,1781,1,0,0,tablet,1,0
73.75,26,2605,3,0,0,mobile,1,0
469.64,21,2396,1,1,0,mobile,1,0
81.42,68,793,1,0,0,mobile,0,0
47.83,41,2282,3,0,0,desktop,1,0
120.42,31,1725,2,0,0,tablet,1,0
32.96,22,1006,3,0,1,mobile,0,0
9.47,35,2785,1,0,0,mobile,0,0
16.56,59,942,0,0,0,desktop,1,0
16.44,36,1166,0,1,0,tablet,1,0
19.77,29,2224,1,0,0,desktop,1,0
17.94,35,1678,6,0,0,desktop,1,0
122.89,34,449,0,0,0,desktop,1,0
24.09,47,592,5,0,1,mobile,1,0
50.9,41,82,1,0,0,mobile,0,0
272.52,28,2183,3,0,0,mobile,0,0
77.09,52,2904,3,1,0,mobile,1,0
132.15,40,1407,2,0,0,desktop,1,0
22.7,34,1481,2,0,0,desktop,1,0
25.63,18,2488,2,0,0,desktop,1,0
5.01,32,1080,2,0,0,desktop,1,0
22.21,49,2745,4,0,0,mobile,0,0
39.19,26,419,2,0,0,desktop,1,0
23.38,32,88,1,0,0,mobile,1,0
11.15,45,2704,2,0,0,desktop,1,0
15.43,41,215,3,0,0,mobile,1,0
74.12,52,1759,3,1,1,mobile,1,0
27.73,39,2600,1,0,0,mobile,0,0
54.36,44,1521,3,1,0,mobile,0,0
84.0,36,1718,3,1,0,mobile,0,0
140.69,62,2551,1,1,0,mobile,1,1
4.81,29,2747,1,1,1,mobile,1,1
